workspace_id,doctor_id,name,actual_id,gender,experience,speciality_id,speciality_name,speciality_alias,is_active,profile_url,profile_pic,languages,hospitals
78323888282175,174980908427832,Vuppu Dinesh Kumar,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/174650c0-39e6-47d2-bd0a-94cab74a1ae8.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908375988,Shireen Isaac,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/8c231ca4-67ce-45ab-bef7-3c0b9c8de52b.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908515438,Venugopal Reddy I,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/6316edf5-955d-48e8-a871-383b6d39f7bb.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908544571,Akshaya Doddamani,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/b7a8aaec-fb00-4279-b8d8-9503b0b95e61.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908401455,Archana N,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/24317f6b-8d54-46b4-9fdd-2a50fa83fb80.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908322367,Somashekhar P V,,,,4,Intensivist,"Critical Care, ICU Specialist, Critical Care Medicine",Yes,,https://doctoronboarding.eka.care/d47a3bd9-30fe-484d-b88d-4c1e8ca90877.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,do1774253101092,Pratap Narala,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,do1766210492826,Ramya M R,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,do1770283098859,Pallavi TN,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,do1766482868010,Dhanunjay Naidu,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908488463,Abhishek S Aradhya,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/7f95153f-7209-44e8-8ca9-3917ce5f1460.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,175558266148374,Lopamudra Pradhan,,,,14,Reproductive Medicine,"IVF, Fertility, ART, IUI, Infertility Treatment",Yes,,,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908041268,Anisha Afza,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,174980907997785,Pavana Prakash,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/0d81e756-48d4-4700-8560-7ee03740bd80.webp,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,174980907907274,Ramya Shankar,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/2f57cc80-ce35-4710-afab-da6d695ce6b6.webp,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,174980908105286,Lingaraj Mulage,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/9d6aa2d6-eec4-482a-a06e-47d0abc376fd.webp,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,174980908068491,Maneesha P H,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/81314ca5-7604-4972-b513-796a1fa4e0af.webp,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,176059978798863,Aejaz Ahmed,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,174980907715950,Rashmi Roogi,,,,2,Fetal Medicine,"Maternal-Fetal Medicine, MFM, Perinatology, Feto-maternal",Yes,,https://doctoronboarding.eka.care/610f8422-b370-41f4-8f55-e0dc0b5064f6.webp,,"Ovum Hospitals – Banashankari:Bengaluru:Karnataka:684965a7cfcc9d001d081843:::#216 A, 100ft Outer Ring Road, Near Kathriguppe Signal, 2nd Block, 3rd Phase, Banashankari 3rd Stage"
78323888282175,d-1762232698403,Sushma S R,,,,2,Fetal Medicine,"Maternal-Fetal Medicine, MFM, Perinatology, Feto-maternal",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
78323888282175,do1763976520422,Mahendra Kasturi,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
